,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD
normalized_mcsym_4ENC_3.pdb,19.833,0.5427294677344424,0.369,0.0,0.0,0.533,53.759,44.02,0.168,0.077,0.154,0.192,0.25,0.0,0.162,2.032,2.323,1.177,0.002,0.535
normalized_vfold_4ENC_3.pdb,16.582,0.0446887611824066,0.492,0.373,0.0,0.594,33.691,27.56,0.264,0.154,0.25,0.288,0.365,0.0,0.199,1.663,1.965,0.935,0.002,0.602
normalized_vfoldpipeline_4ENC.pdb,14.929,0.0044346398906827,0.429,0.373,0.0,0.469,34.835,22.36,0.26,0.135,0.25,0.308,0.346,0.0,0.215,1.542,2.197,1.18,0.185,0.55
normalized_rnacomposer_4ENC.pdb,17.173,0.0852191377797284,0.551,0.373,0.408,0.63,31.152,28.46,0.298,0.231,0.288,0.308,0.365,0.0,0.245,1.755,1.974,0.926,0.362,0.606
normalized_simrna_4ENC.pdb,16.902,0.0641376097149928,0.459,0.304,0.289,0.537,36.818,23.5,0.332,0.211,0.327,0.365,0.423,0.0,0.195,1.814,2.213,1.912,0.007,0.622
normalized_trrosettarna_4ENC_3.pdb,2.336,0.0,0.566,0.856,0.0,0.522,4.128,27.99,0.87,0.558,0.923,1.0,1.0,0.0,0.722,0.181,1.32,1.297,0.701,0.864
normalized_3drna_4ENC_1.pdb,15.934,0.01975677783486,0.538,0.408,,0.605,29.622,35.22,0.284,0.154,0.25,0.346,0.385,0.0,0.143,1.612,1.799,1.156,0.368,0.625
normalized_isrna_4ENC.pdb,17.783,0.1510746380756841,0.58,0.358,0.0,0.683,30.673,21.28,0.288,0.173,0.269,0.327,0.385,0.0,0.215,1.818,1.892,1.163,0.385,0.645
normalized_rnajp_4ENC.pdb,19.427,0.4528587158102436,0.553,0.358,0.408,0.635,35.112,24.85,0.327,0.192,0.327,0.365,0.423,0.0,0.217,1.995,1.893,1.459,0.009,0.618
normalized_rhofold_4ENC.pdb,3.601,0.0,0.727,0.968,,0.655,4.955,44.95,0.668,0.25,0.538,0.885,1.0,0.0,0.455,0.351,1.122,1.113,0.627,0.789
